Name : conchimkhonglo đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 9804 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 9604 và 200|| Thời gian tách : 2022-06-06 14:39:47
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18967 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18966 và 1|| Thời gian tách : 2022-06-06 14:39:48
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18966 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18965 và 1|| Thời gian tách : 2022-06-06 14:39:49
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18965 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18964 và 1|| Thời gian tách : 2022-06-06 14:39:50
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18964 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18963 và 1|| Thời gian tách : 2022-06-06 14:39:52
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18963 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18962 và 1|| Thời gian tách : 2022-06-06 14:39:53
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18962 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18961 và 1|| Thời gian tách : 2022-06-06 14:39:54
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18961 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18960 và 1|| Thời gian tách : 2022-06-06 14:39:55
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18960 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18959 và 1|| Thời gian tách : 2022-06-06 14:39:56
Name : goodboy đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18959 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18958 và 1|| Thời gian tách : 2022-06-06 14:39:57
